Request id,Pickup point,Driver id,Status,Request Date,Request timestamp,Drop Date,Drop timestamp,Trip Duration (minutes),Request Hour,Request Day of Week,Daypart,Gap Type
619,Airport,1,Trip Completed,11-07-2016,11:51,11-07-2016,13:00,69,11,Monday,Morning,No Gap
867,Airport,1,Trip Completed,11-07-2016,17:57,11-07-2016,18:47,50,17,Monday,Evening,No Gap
1807,City,1,Trip Completed,12-07-2016,09:17,12-07-2016,09:58,41,9,Tuesday,Morning,No Gap
2532,Airport,1,Trip Completed,12-07-2016,21:08,12-07-2016,22:03,55,21,Tuesday,Night,No Gap
3112,City,1,Trip Completed,13-07-2016,08:33,13-07-2016,09:25,53,8,Wednesday,Early Morning,No Gap
3879,Airport,1,Trip Completed,13-07-2016,21:57,13-07-2016,22:28,32,21,Wednesday,Night,No Gap
4270,Airport,1,Trip Completed,14-07-2016,06:15,14-07-2016,07:13,58,6,Thursday,Early Morning,No Gap
5510,Airport,1,Trip Completed,15-07-2016,05:11,15-07-2016,06:07,56,5,Friday,Early Morning,No Gap
6248,City,1,Trip Completed,15-07-2016,17:57,15-07-2016,18:50,53,17,Friday,Evening,No Gap
267,City,2,Trip Completed,11-07-2016,06:46,11-07-2016,07:25,39,6,Monday,Early Morning,No Gap
1467,Airport,2,Trip Completed,12-07-2016,05:08,12-07-2016,06:02,54,5,Tuesday,Early Morning,No Gap
1983,City,2,Trip Completed,12-07-2016,12:30,12-07-2016,12:57,27,12,Tuesday,Morning,No Gap
2784,Airport,2,Trip Completed,13-07-2016,04:49,13-07-2016,05:23,34,4,Wednesday,Late Night,No Gap
3075,City,2,Trip Completed,13-07-2016,08:02,13-07-2016,09:16,73,8,Wednesday,Early Morning,No Gap
3379,City,2,Trip Completed,13-07-2016,14:23,13-07-2016,15:35,72,14,Wednesday,Afternoon,No Gap
3482,Airport,2,Trip Completed,13-07-2016,17:23,13-07-2016,18:20,58,17,Wednesday,Evening,No Gap
4652,City,2,Trip Completed,14-07-2016,12:01,14-07-2016,12:36,36,12,Thursday,Morning,No Gap
5335,Airport,2,Trip Completed,14-07-2016,22:24,14-07-2016,23:18,55,22,Thursday,Night,No Gap
535,Airport,3,Trip Completed,11-07-2016,10:00,11-07-2016,10:31,31,10,Monday,Morning,No Gap
960,Airport,3,Trip Completed,11-07-2016,18:45,11-07-2016,19:23,38,18,Monday,Evening,No Gap
1934,Airport,3,Trip Completed,12-07-2016,11:17,12-07-2016,12:23,66,11,Tuesday,Morning,No Gap
2083,Airport,3,Trip Completed,12-07-2016,15:46,12-07-2016,16:40,54,15,Tuesday,Afternoon,No Gap
2211,Airport,3,Trip Completed,12-07-2016,18:00,12-07-2016,18:28,28,18,Tuesday,Evening,No Gap
3096,Airport,3,Trip Completed,13-07-2016,08:17,13-07-2016,09:22,65,8,Wednesday,Early Morning,No Gap
3881,Airport,3,Trip Completed,13-07-2016,21:54,13-07-2016,22:51,57,21,Wednesday,Night,No Gap
5254,City,3,Trip Completed,14-07-2016,21:23,14-07-2016,22:25,62,21,Thursday,Night,No Gap
5434,City,3,Trip Completed,15-07-2016,02:41,15-07-2016,03:24,43,2,Friday,Late Night,No Gap
5916,City,3,Trip Completed,15-07-2016,10:00,15-07-2016,10:53,52,10,Friday,Morning,No Gap
669,City,4,Trip Completed,11-07-2016,13:08,11-07-2016,13:49,41,13,Monday,Afternoon,No Gap
1567,Airport,4,Trip Completed,12-07-2016,06:21,12-07-2016,07:10,49,6,Tuesday,Early Morning,No Gap
1826,City,4,Trip Completed,12-07-2016,09:27,12-07-2016,10:27,60,9,Tuesday,Morning,No Gap
2102,City,4,Trip Completed,12-07-2016,16:09,12-07-2016,17:01,52,16,Tuesday,Afternoon,No Gap
2847,Airport,4,Trip Completed,13-07-2016,05:34,13-07-2016,06:09,36,5,Wednesday,Early Morning,No Gap
3722,Airport,4,Trip Completed,13-07-2016,19:57,13-07-2016,20:32,34,19,Wednesday,Evening,No Gap
4075,City,4,Trip Completed,14-07-2016,02:17,14-07-2016,03:21,64,2,Thursday,Late Night,No Gap
4686,City,4,Trip Completed,14-07-2016,13:01,14-07-2016,13:45,44,13,Thursday,Afternoon,No Gap
5771,Airport,4,Trip Completed,15-07-2016,08:30,15-07-2016,09:37,67,8,Friday,Early Morning,No Gap
6106,Airport,4,Trip Completed,15-07-2016,15:01,15-07-2016,15:47,46,15,Friday,Afternoon,No Gap
312,City,5,Trip Completed,11-07-2016,07:27,11-07-2016,08:31,64,7,Monday,Early Morning,No Gap
577,Airport,5,Trip Completed,11-07-2016,11:03,11-07-2016,12:01,58,11,Monday,Morning,No Gap
1179,City,5,Trip Completed,11-07-2016,20:58,11-07-2016,21:45,47,20,Monday,Evening,No Gap
1756,Airport,5,Trip Completed,12-07-2016,08:40,12-07-2016,09:23,43,8,Tuesday,Early Morning,No Gap
2052,City,5,Trip Completed,12-07-2016,14:48,12-07-2016,15:50,62,14,Tuesday,Afternoon,No Gap
2559,City,5,Trip Completed,12-07-2016,21:32,12-07-2016,22:29,57,21,Tuesday,Night,No Gap
3014,City,5,Trip Completed,13-07-2016,07:28,13-07-2016,08:29,62,7,Wednesday,Early Morning,No Gap
3317,City,5,Trip Completed,13-07-2016,12:14,13-07-2016,12:46,32,12,Wednesday,Morning,No Gap
4297,City,5,Trip Completed,14-07-2016,06:43,14-07-2016,07:49,67,6,Thursday,Early Morning,No Gap
5857,Airport,5,Trip Completed,15-07-2016,09:08,15-07-2016,10:07,58,9,Friday,Morning,No Gap
6690,Airport,5,Trip Completed,15-07-2016,22:41,15-07-2016,23:51,69,22,Friday,Night,No Gap
1517,Airport,6,Trip Completed,12-07-2016,05:45,12-07-2016,06:28,43,5,Tuesday,Early Morning,No Gap
1999,Airport,6,Trip Completed,12-07-2016,13:02,12-07-2016,13:51,49,13,Tuesday,Afternoon,No Gap
2960,Airport,6,Trip Completed,13-07-2016,06:50,13-07-2016,07:40,50,6,Wednesday,Early Morning,No Gap
3882,City,6,Trip Completed,13-07-2016,21:53,13-07-2016,22:45,52,21,Wednesday,Night,No Gap
4081,Airport,6,Trip Completed,14-07-2016,02:37,14-07-2016,03:30,53,2,Thursday,Late Night,No Gap
4740,City,6,Trip Completed,14-07-2016,14:50,14-07-2016,15:38,48,14,Thursday,Afternoon,No Gap
5270,City,6,Trip Completed,14-07-2016,21:33,14-07-2016,22:25,52,21,Thursday,Night,No Gap
6758,Airport,6,Trip Completed,15-07-2016,00:03,15-07-2016,01:07,64,0,Friday,Late Night,No Gap
5741,City,6,Trip Completed,15-07-2016,07:52,15-07-2016,08:38,46,7,Friday,Early Morning,No Gap
6087,Airport,6,Trip Completed,15-07-2016,14:28,15-07-2016,15:33,65,14,Friday,Afternoon,No Gap
1039,City,7,Trip Completed,11-07-2016,19:31,11-07-2016,20:41,70,19,Monday,Evening,No Gap
1273,Airport,7,Trip Completed,11-07-2016,22:07,11-07-2016,23:12,65,22,Monday,Night,No Gap
2480,City,7,Trip Completed,12-07-2016,20:39,12-07-2016,21:28,49,20,Tuesday,Evening,No Gap
4105,City,7,Trip Completed,14-07-2016,03:39,14-07-2016,04:39,59,3,Thursday,Late Night,No Gap
4509,City,7,Trip Completed,14-07-2016,09:11,14-07-2016,10:17,66,9,Thursday,Morning,No Gap
4986,Airport,7,Trip Completed,14-07-2016,18:52,14-07-2016,19:50,58,18,Thursday,Evening,No Gap
5898,City,7,Trip Completed,15-07-2016,09:50,15-07-2016,10:40,50,9,Friday,Morning,No Gap
6142,Airport,7,Trip Completed,15-07-2016,15:50,15-07-2016,16:36,47,15,Friday,Afternoon,No Gap
380,Airport,8,Trip Completed,11-07-2016,08:18,11-07-2016,09:18,60,8,Monday,Early Morning,No Gap
1050,Airport,8,Trip Completed,11-07-2016,19:39,11-07-2016,20:30,51,19,Monday,Evening,No Gap
1769,City,8,Trip Completed,12-07-2016,08:57,12-07-2016,09:24,27,8,Tuesday,Early Morning,No Gap
2520,City,8,Trip Completed,12-07-2016,21:05,12-07-2016,22:20,75,21,Tuesday,Night,No Gap
3265,Airport,8,Trip Completed,13-07-2016,10:22,13-07-2016,11:07,45,10,Wednesday,Morning,No Gap
4648,City,8,Trip Completed,14-07-2016,11:55,14-07-2016,12:59,64,11,Thursday,Morning,No Gap
449,Airport,9,Trip Completed,11-07-2016,09:08,11-07-2016,09:52,44,9,Monday,Morning,No Gap
846,Airport,9,Trip Completed,11-07-2016,17:46,11-07-2016,18:52,66,17,Monday,Evening,No Gap
1346,Airport,9,Trip Completed,11-07-2016,23:39,12-07-2016,00:23,44,23,Monday,Night,No Gap
1474,Airport,9,Trip Completed,12-07-2016,05:13,12-07-2016,05:56,43,5,Tuesday,Early Morning,No Gap
2240,City,9,Trip Completed,12-07-2016,18:20,12-07-2016,18:54,34,18,Tuesday,Evening,No Gap
3072,Airport,9,Trip Completed,13-07-2016,08:04,13-07-2016,08:36,32,8,Wednesday,Early Morning,No Gap
3459,Airport,9,Trip Completed,13-07-2016,17:03,13-07-2016,17:31,28,17,Wednesday,Evening,No Gap
3774,Airport,9,Trip Completed,13-07-2016,20:41,13-07-2016,21:27,46,20,Wednesday,Evening,No Gap
4023,City,9,Trip Completed,13-07-2016,23:58,14-07-2016,00:58,60,23,Wednesday,Night,No Gap
4117,City,9,Trip Completed,14-07-2016,04:21,14-07-2016,05:07,45,4,Thursday,Late Night,No Gap
4880,Airport,9,Trip Completed,14-07-2016,17:58,14-07-2016,19:02,64,17,Thursday,Evening,No Gap
5568,Airport,9,Trip Completed,15-07-2016,05:47,15-07-2016,06:25,38,5,Friday,Early Morning,No Gap
5994,Airport,9,Trip Completed,15-07-2016,11:51,15-07-2016,12:32,41,11,Friday,Morning,No Gap
1809,Airport,10,Trip Completed,12-07-2016,09:13,12-07-2016,10:01,48,9,Tuesday,Morning,No Gap
2064,Airport,10,Trip Completed,12-07-2016,15:08,12-07-2016,16:14,66,15,Tuesday,Afternoon,No Gap
3210,City,10,Trip Completed,13-07-2016,09:47,13-07-2016,10:52,66,9,Wednesday,Morning,No Gap
4350,City,10,Trip Completed,14-07-2016,07:24,14-07-2016,08:22,57,7,Thursday,Early Morning,No Gap
4713,City,10,Trip Completed,14-07-2016,13:31,14-07-2016,14:10,40,13,Thursday,Afternoon,No Gap
